"","id","parent","sex","birth_year","working_status","cit","acom4c","town_size","quality_life","citizen_status","education_level","ireg"
"48",202232,2,1,1939,16,1,2,4,3,6,5,3
"49",202233,6,1,1971,3,1,2,8,2,4,4,3
"50",202311,1,1,1949,8,1,0,4,2,4,4,8
"51",202312,2,2,1953,8,1,0,4,2,4,4,8
"52",202971,1,1,1960,5,1,2,3,1,1,2,5
"53",202972,2,2,1979,NA,2,2,3,1,1,4,5
"54",203721,1,1,1947,5,1,2,3,3,6,5,5
"55",203723,8,1,1972,5,1,2,3,1,1,2,5
"56",207111,1,2,1945,4,1,0,3,3,7,5,4
"57",207112,2,1,1944,4,1,0,2,3,6,5,4
"58",208371,1,1,1931,8,1,2,4,3,6,5,8
"59",208372,2,2,1928,8,1,2,2,3,6,5,8
"60",2134401,1,1,1947,7,1,3,5,2,4,4,7
"61",213841,1,1,1958,19,1,2,3,2,5,4,19
"62",213843,6,1,1982,19,1,2,3,1,1,4,19
"63",214611,1,2,1918,5,1,1,2,3,6,5,5
"64",2150111,1,2,1937,13,1,1,1,3,6,5,13
"65",2150181,1,2,1940,13,1,1,1,3,6,5,13
"66",2150182,2,1,1935,13,1,1,1,3,6,5,13
"67",2160221,1,1,1941,6,1,1,5,3,6,5,6
"68",2160222,2,2,1947,6,1,1,3,3,6,5,6
"69",2170811,1,1,1966,5,1,0,3,1,1,2,5
"70",21781,1,2,1933,9,1,2,4,3,6,5,9
"71",220741,1,1,1955,6,1,2,5,1,2,4,15
"72",220991,1,1,1958,15,1,1,3,2,4,4,15
"73",221682,2,1,1956,15,1,3,2,3,7,5,15
"74",221683,6,1,1985,15,1,3,3,3,6,5,15
"75",221691,1,2,1944,15,1,3,2,3,6,5,15
"76",221692,2,1,1937,15,1,3,2,3,6,5,15
"77",221731,1,1,1938,15,1,3,2,3,6,5,15
"78",221733,6,2,1975,15,1,3,5,1,2,4,15
"79",222081,1,2,1935,5,1,1,2,3,6,5,5
"80",222221,1,1,1927,5,1,1,2,3,6,5,5
"81",222621,1,1,1941,6,1,1,5,3,6,5,6
"82",222631,1,2,1931,6,1,1,3,3,6,5,6
"83",222632,7,1,1960,6,1,1,4,1,1,2,6
"84",222661,1,1,1926,6,1,1,3,3,6,5,6
"85",222662,2,2,1926,NA,1,1,2,3,6,5,6
"86",222761,1,1,1949,8,1,0,5,3,6,5,8
"87",222762,4,2,1924,8,1,0,2,3,6,5,8
"88",222771,1,2,1957,8,1,0,5,1,3,3,8
"89",222772,2,1,1958,8,1,0,4,2,4,4,8
"90",222791,1,2,1954,8,1,0,3,2,5,4,8
"91",222792,7,1,1982,8,1,0,5,1,1,2,8
"92",222793,7,2,1986,8,1,0,5,2,5,4,8
"93",222861,1,1,1950,8,1,0,3,3,6,5,8
"94",222862,2,2,1956,8,1,0,3,1,1,3,8
"95",222921,1,2,1935,8,1,0,2,3,6,5,8
"96",222922,2,1,1929,8,1,0,2,3,6,5,8
"97",2240281,1,1,1958,7,1,2,5,1,3,4,7
"98",2240282,2,2,1961,1,1,2,4,1,2,3,7
"99",2240481,1,2,1934,20,1,2,2,3,6,5,7
"100",2240482,2,1,1926,10,1,2,2,3,6,5,7
"101",225161,1,2,1955,5,1,2,5,1,2,3,3
"102",225162,2,1,1948,3,1,2,3,3,6,5,3
"103",226241,1,1,1957,15,1,2,2,3,7,5,15
"104",226243,6,1,1981,15,1,2,3,1,1,4,15
"105",226244,6,1,1984,15,1,2,4,1,1,4,15
"106",226571,1,2,1951,16,1,2,7,1,3,3,16
"107",226572,2,1,1946,16,1,2,5,3,6,5,16
"108",22741,1,1,1928,15,1,0,2,3,6,5,15
"109",22742,2,2,1927,15,1,0,2,3,6,5,15
"110",228501,1,2,1949,1,1,1,7,1,2,3,5
"111",229951,1,1,1943,5,1,2,3,3,6,5,1
"112",229961,1,1,1934,1,1,2,5,3,6,5,1
"113",229962,2,2,1942,1,1,2,3,3,6,5,1
"114",2300031,1,1,1941,3,1,0,3,3,6,5,3
"115",2300033,6,1,1969,3,1,0,3,1,1,2,3
"116",2300291,1,1,1943,3,1,0,3,3,6,5,3
"117",2300292,2,2,1946,3,1,0,2,3,6,5,3
"118",2300301,1,2,1935,3,1,0,2,3,6,5,3
"119",2300371,1,1,1948,15,1,0,5,3,6,5,3
"120",2300372,2,2,1948,3,1,0,7,3,6,5,3
"121",2300391,1,2,1969,NA,1,0,3,1,1,4,3
"122",2300431,1,1,1943,3,1,0,2,3,6,5,3
"123",2300481,1,2,1935,3,1,0,2,3,6,5,3
"124",231931,1,2,1930,7,1,2,6,3,6,5,7
"125",233701,1,1,1942,6,1,2,3,3,6,5,6
"126",233841,1,1,1931,5,1,0,4,3,6,5,5
"127",234901,1,2,1937,5,1,1,5,3,6,5,5
"128",2370031,1,1,1948,19,1,1,5,3,6,5,19
"129",2370032,2,2,1944,19,1,1,7,3,6,5,19
"130",2370033,6,2,1978,19,1,1,8,1,2,3,19
"131",237971,1,1,1955,15,1,3,4,1,1,4,15
"132",237981,1,1,1941,15,1,3,3,3,6,5,15
"133",2380551,1,1,1946,5,1,1,2,3,6,5,3
"134",2380552,2,2,1946,8,1,1,2,3,6,5,3
"135",2380553,6,2,1983,3,1,1,5,1,2,4,3
"136",238211,1,2,1936,16,1,2,2,3,6,5,16
"137",238231,1,2,1937,16,1,2,2,3,6,5,16
"138",238232,7,2,1972,16,1,2,5,1,2,4,16
"139",238651,1,1,1944,16,1,2,5,3,6,5,16
"140",239861,1,2,1935,17,1,2,2,3,7,5,17
"141",239862,2,1,1929,17,1,2,2,3,6,5,17
"142",240101,1,2,1934,18,1,2,2,3,6,5,18
"143",241471,1,1,1948,4,1,0,7,3,6,5,4
"144",241472,2,2,1958,4,1,0,5,1,2,3,4
"145",241491,1,1,1923,3,1,0,2,3,6,5,4
"146",241581,1,2,1935,8,1,1,2,3,6,5,8
"147",241582,9,2,1979,8,1,1,3,1,2,2,8
"148",241711,1,1,1939,NA,1,1,3,2,5,4,8
"149",241941,1,1,1952,8,1,1,2,1,1,2,8
"150",241942,2,2,1960,8,1,1,3,1,2,4,8
"151",241943,6,1,1984,8,1,1,5,1,1,2,8
"152",241944,6,2,1990,8,1,1,5,1,2,1,8
"153",241951,1,2,1952,13,1,1,3,3,7,5,8
"154",241952,2,1,1936,8,1,1,3,3,6,5,8
"155",242021,1,2,1934,19,1,2,5,3,6,5,15
"156",242022,7,2,1964,15,1,2,5,1,1,4,15
"157",2430671,1,2,1962,8,1,1,5,3,7,5,8
"158",2430672,2,1,1962,8,1,1,3,2,5,4,8
"159",243261,1,2,1924,4,1,0,3,3,6,5,4
"160",243741,1,2,1957,13,1,0,3,3,7,5,13
"161",243742,3,1,1946,13,1,0,2,3,6,5,13
"162",243743,6,1,1978,13,1,0,4,1,1,2,13
"163",243744,6,2,1981,13,1,0,4,1,1,4,13
"164",243791,1,2,1939,13,1,2,2,3,6,5,13
"165",243821,1,1,1940,13,1,0,2,3,6,5,13
"166",243822,2,2,1949,13,1,0,2,1,1,4,13
"167",243931,1,2,1931,13,1,2,2,3,6,5,13
"168",2440131,1,2,1946,20,1,0,3,3,6,5,20
"169",2440132,2,1,1946,20,1,0,2,3,6,5,20
"170",2440581,1,2,1964,20,1,0,5,3,7,5,20
"171",2440582,2,1,1964,20,1,0,2,2,5,4,20
"172",2440642,2,1,1963,20,1,0,2,1,1,3,20
"173",2440643,6,1,1990,20,1,0,3,1,1,4,20
"174",24471,1,1,1957,15,1,2,3,1,1,2,9
"175",24473,7,1,1981,9,1,2,5,1,1,4,9
"176",24474,7,2,1985,9,1,2,7,1,1,4,9
"177",245291,1,2,1951,4,1,2,4,3,7,5,4
"178",245292,2,1,1947,4,1,2,7,3,6,5,4
"179",245293,6,1,1978,5,1,2,5,1,2,4,4
"180",245294,6,1,1983,5,1,2,6,1,2,3,4
"181",246161,1,1,1939,8,1,2,2,3,6,5,8
"182",246162,2,2,1945,8,1,2,2,3,6,5,8
"183",247601,1,2,1920,17,1,2,2,3,6,5,17
"184",247641,1,2,1966,15,1,2,3,3,7,5,17
"185",247642,2,1,1963,17,1,2,3,1,1,2,17
"186",248091,1,2,1939,16,1,2,2,3,7,5,16
"187",248092,2,1,1930,16,1,2,2,3,6,5,16
"188",24851,1,2,1935,9,1,2,2,3,6,5,9
"189",248531,1,1,1957,16,1,2,3,1,2,3,11
"190",248532,2,2,1962,16,1,2,5,1,2,3,11
"191",248851,1,2,1933,15,1,3,3,3,6,5,15
"192",249241,1,2,1964,6,1,2,5,2,5,2,6
"193",249242,2,1,1960,6,1,2,5,2,5,2,6
"194",249243,6,2,1989,6,1,2,5,1,2,3,6
"195",249841,1,2,1956,9,1,0,3,3,7,5,9
"196",249842,2,1,1954,9,1,0,3,3,6,5,9
"197",249843,5,1,1924,9,1,0,2,3,6,5,9
"198",249844,6,2,1980,9,1,0,7,1,2,4,9
"199",2500051,1,2,1949,19,1,2,5,3,7,5,19
"200",2500052,2,1,1944,15,1,2,5,3,6,5,19
"201",2500101,1,2,1946,19,1,2,2,3,7,5,19
"202",2500371,1,2,1929,19,1,2,2,3,6,5,19
"203",2500391,1,2,1951,19,1,2,2,3,7,5,19
"204",2500561,1,1,1938,19,1,2,3,2,5,4,19
"205",250071,1,2,1934,19,1,2,5,3,6,5,19
"206",251381,1,1,1950,19,1,1,6,3,6,5,19
"207",251481,1,1,1950,19,1,1,5,1,2,4,19
"208",251482,2,2,1962,19,1,1,5,1,2,4,19
"209",252451,1,2,1971,16,1,0,3,1,1,1,16
"210",252453,6,1,1988,16,1,0,5,2,5,4,16
"211",254351,1,1,1956,1,1,3,5,3,7,5,1
"212",254352,2,2,1964,1,1,3,7,1,3,3,1
"213",2560151,1,2,1972,19,1,2,3,3,7,5,19
"214",2560152,2,1,1965,19,1,2,5,1,1,4,19
"215",256251,1,2,1925,15,1,2,7,3,6,5,9
"216",259301,1,1,1946,3,1,0,5,3,6,5,3
"217",259302,2,2,1948,3,1,0,2,3,6,5,3
"218",259681,1,1,1941,3,1,2,3,3,6,5,3
"219",259682,2,2,1944,3,1,2,2,3,6,5,3
"220",259701,1,1,1927,3,1,2,3,3,6,5,3
"221",260481,1,1,1942,3,1,2,5,3,6,5,9
"222",261631,1,1,1956,1,1,2,5,1,1,4,7
"223",261632,2,2,1960,7,1,2,3,1,1,4,7
"224",262811,1,2,1922,11,1,0,2,3,6,5,11
"225",263101,1,1,1939,16,1,0,3,3,6,5,16
"226",263102,2,2,1941,17,1,0,3,3,6,5,16
"227",263103,6,2,1975,16,1,0,5,1,2,4,16
"228",263491,1,1,1932,7,1,3,3,3,6,5,7
"229",263492,2,2,1938,7,1,3,3,3,6,5,7
"230",264991,1,2,1928,20,1,0,1,3,6,5,20
"231",264992,7,1,1965,20,1,0,2,3,6,5,20
"232",266531,1,2,1933,20,1,2,2,3,6,5,7
"233",266841,1,2,1944,15,1,2,2,3,6,5,3
"234",266842,7,1,1967,NA,1,2,3,1,1,4,3
"235",271091,1,2,1925,19,1,1,1,3,6,5,19
"236",271141,1,2,1938,19,1,1,2,3,6,5,19
"237",271161,1,1,1937,19,1,1,3,3,6,5,19
"238",271231,1,1,1949,19,1,1,3,3,6,5,19
"239",271551,1,1,1957,19,1,2,5,2,5,4,19
"240",271552,2,2,1961,19,1,2,5,2,5,4,19
"241",271553,6,1,1989,19,1,2,5,1,2,3,19
"242",271571,1,1,1960,19,1,2,5,2,4,4,19
"243",271572,2,2,1963,19,1,2,5,2,4,1,19
"244",272241,1,1,1950,12,1,0,3,3,6,5,12
"245",272242,2,2,1953,12,1,0,5,2,5,4,12
"246",272243,6,1,1979,12,1,0,5,1,1,2,12
"247",272381,1,1,1952,12,1,0,3,3,7,5,12
"248",272382,2,2,1961,12,1,0,3,1,2,4,12
"249",275051,1,1,1945,16,1,2,3,3,6,5,8
"250",275091,1,2,1934,8,1,2,2,3,6,5,8
"251",277301,1,2,1949,20,1,1,3,3,7,5,20
"252",277302,2,1,1939,20,1,1,2,3,6,5,20
"253",277303,6,2,1972,20,1,1,3,1,1,3,20
"254",277341,1,2,1951,20,1,1,3,3,7,5,20
"255",277342,2,1,1947,20,1,1,2,3,6,5,20
"256",277343,6,1,1980,20,1,1,5,3,7,5,20
"257",277391,1,2,1938,20,1,1,2,3,6,5,20
"258",277421,1,2,1932,20,1,1,1,3,6,5,20
"259",277422,7,2,1974,20,1,1,7,1,2,3,20
"260",277441,1,2,1947,20,1,1,2,3,6,5,20
"261",277442,2,1,1937,20,1,1,2,2,5,1,20
"262",278811,1,1,1928,3,1,2,4,3,6,5,3
"263",2790541,1,1,1935,15,1,2,3,3,6,5,15
"264",2790542,2,2,1939,15,1,2,3,3,6,5,15
"265",279121,1,1,1948,13,1,1,5,3,6,5,13
"266",279122,2,2,1954,13,1,1,3,3,7,5,13
"267",279123,6,1,1985,13,1,1,5,1,1,4,13
"268",279231,1,1,1951,13,1,1,5,3,6,5,13
"269",279235,6,1,2000,13,1,1,1,3,7,5,13
"270",279301,1,1,1933,13,1,2,3,3,6,5,13
"271",279302,2,2,1938,13,1,2,5,3,6,5,13
"272",279471,1,1,1933,13,1,2,2,3,6,5,13
"273",279472,2,2,1932,13,1,2,2,3,6,5,13
"274",281001,1,1,1955,20,1,1,5,1,3,4,20
"275",2820831,1,2,1940,20,1,2,3,1,2,3,20
"276",2820891,1,2,1954,20,1,2,2,3,7,5,20
"277",2820892,2,1,1950,20,1,2,2,3,6,5,20
"278",2820893,6,2,1981,20,1,2,5,1,2,4,20
"279",2820894,6,1,1985,20,1,2,5,1,1,4,20
"280",282211,1,2,1929,18,1,2,5,3,6,5,18
"281",283311,1,1,1915,11,1,2,2,3,6,5,11
"282",283461,1,2,1930,3,1,2,2,3,6,5,11
"283",283621,1,1,1928,9,1,2,5,3,6,5,9
"284",2840861,1,2,1943,20,1,1,5,3,6,5,20
"285",2840862,2,1,1934,20,1,1,3,3,6,5,20
"286",284411,1,1,1950,9,1,2,5,1,2,4,9
"287",288021,1,2,1960,1,1,3,5,2,5,4,1
"288",288022,2,1,1956,1,1,3,5,1,2,2,1
"289",288591,1,2,1930,8,1,2,5,3,6,5,8
"290",288592,2,1,1928,8,1,2,2,3,6,5,8
"291",28861,1,1,1949,13,1,2,5,1,2,3,13
"292",28862,2,2,1952,13,1,2,6,1,2,3,13
"293",28863,6,1,1977,13,1,2,5,1,1,4,13
"294",288971,1,2,1951,19,1,3,3,3,6,5,1
"295",289201,1,1,1920,9,1,2,5,3,6,5,9
"296",289921,1,1,1931,20,1,2,7,2,4,1,20
"297",290061,1,1,1944,6,1,2,5,2,5,2,6
"298",290062,2,2,1946,6,1,2,3,3,6,5,6
"299",291401,1,1,1949,9,1,0,3,3,6,5,9
"300",291402,2,2,1952,9,1,0,3,1,1,2,9
"301",291403,6,2,1983,9,1,0,5,2,4,4,9
"302",292801,1,1,1950,15,1,0,5,1,3,3,15
"303",292802,2,2,1950,15,1,0,5,1,2,3,15
"304",292861,1,1,1929,15,1,2,2,3,6,5,15
"305",292881,1,1,1970,15,1,0,3,2,5,4,15
"306",2940391,1,2,1946,6,1,0,2,3,6,5,6
"307",2940392,2,1,1940,6,1,0,2,3,6,5,6
"308",296781,1,1,1933,19,1,2,3,3,6,5,19
"309",296801,1,1,1964,19,1,2,3,1,1,4,19
"310",296841,1,1,1953,19,1,2,7,1,2,3,19
"311",296842,2,2,1953,19,1,2,5,1,2,3,19
"312",297371,1,1,1951,16,1,2,7,1,3,3,16
"313",297372,2,2,1953,16,1,2,7,1,2,3,16
"314",297421,1,1,1952,16,1,2,2,2,4,4,16
"315",297422,2,2,1954,16,1,2,2,1,2,3,16
"316",297423,6,2,1975,16,1,2,3,3,6,5,16
"317",297741,1,2,1926,15,1,2,2,3,6,5,15
"318",297981,1,1,1935,11,1,1,2,3,6,5,11
"319",297982,2,2,1936,11,1,1,2,3,6,5,11
"320",298231,1,2,1960,15,1,2,7,3,6,5,15
"321",298232,2,1,1965,15,1,2,6,1,2,3,15
"322",3100021,1,2,1943,20,1,1,2,3,7,5,20
"323",3100022,2,1,1938,20,1,1,2,3,6,5,20
"324",3100051,1,1,1942,9,1,1,5,3,6,5,20
"325",3100511,1,1,1938,20,1,1,3,3,6,5,20
"326",3100661,1,2,1947,20,1,1,3,3,6,5,20
"327",310661,1,1,1940,16,1,3,2,3,6,5,1
"328",310663,6,1,1970,1,1,3,5,1,2,4,1
"329",310921,1,1,1964,3,1,1,5,1,3,4,1
"330",310931,1,1,1954,1,1,1,5,2,5,4,1
"331",311201,1,2,1940,1,1,2,3,3,6,5,1
"332",311202,2,1,1940,3,1,2,5,3,6,5,1
"333",311221,1,1,1952,16,1,2,3,1,2,3,1
"334",311223,6,1,1979,16,1,2,3,1,1,2,1
"335",311371,1,1,1954,3,1,1,5,1,2,2,3
"336",311372,2,2,1958,3,1,1,5,1,2,3,3
"337",311373,6,1,1985,3,1,1,5,1,1,2,3
"338",311451,1,1,1946,3,1,1,2,3,6,5,3
"339",311452,2,2,1951,5,1,1,3,3,6,5,3
"340",311611,1,1,1958,20,1,2,5,1,2,4,20
"341",311612,2,2,1962,20,1,2,5,1,2,4,20
"342",311631,1,1,1953,20,1,0,5,2,5,4,20
"343",311632,2,2,1956,20,1,0,3,2,5,4,20
"344",311633,6,1,1978,20,1,0,5,2,5,4,20
"345",311911,1,1,1925,1,1,2,4,3,6,5,1
"346",311912,2,2,1924,1,1,2,4,3,6,5,1
"347",312191,1,2,1929,19,1,2,3,3,6,5,19
"348",312201,1,2,1938,8,1,1,2,3,6,5,8
"349",312202,2,1,1935,8,1,1,2,3,6,5,8
"350",312211,1,2,1938,12,1,1,5,3,6,5,8
"351",312212,7,2,1979,8,1,1,3,3,6,5,8
"352",312461,1,1,1942,1,1,0,2,3,6,5,1
"353",312462,2,2,1944,1,1,0,3,3,6,5,1
"354",312811,1,1,1944,11,1,1,3,2,5,4,3
"355",313041,1,1,1941,11,1,0,5,3,6,5,11
"356",313042,2,2,1942,11,1,0,5,3,6,5,11
"357",313091,1,1,1955,11,1,0,3,1,2,4,11
"358",313092,2,2,1958,11,1,0,2,3,6,5,11
"359",313093,6,2,1986,11,1,0,5,1,2,2,11
"360",313096,8,1,1987,11,1,0,4,1,1,4,11
"361",313871,1,2,1959,3,1,0,3,3,7,5,3
"362",313872,2,1,1957,3,1,0,3,1,2,2,3
"363",313873,6,1,1984,3,1,0,5,1,2,2,3
"364",314031,1,2,1926,12,1,2,3,3,6,5,3
"365",314032,7,2,1965,3,1,2,5,1,2,3,3
"366",314411,1,1,1942,3,1,2,5,3,6,5,3
"367",314412,2,2,1944,3,1,2,5,3,6,5,3
"368",314481,1,2,1935,8,1,2,5,3,6,5,8
"369",315561,1,1,1937,3,1,2,2,3,6,5,3
"370",315562,2,2,1941,3,1,2,2,3,6,5,3
"371",315601,1,1,1943,3,1,2,3,3,6,5,3
"372",315602,2,2,1953,15,1,2,2,1,1,2,3
"373",315611,1,1,1940,3,1,2,4,3,6,5,3
"374",315612,2,2,1943,3,1,2,2,3,6,5,3
"375",316251,1,2,1931,16,1,2,2,3,6,5,3
"376",316252,7,2,1957,16,1,2,7,1,3,4,3
"377",316411,1,2,1959,3,1,2,3,1,1,4,3
"378",316412,2,1,1955,3,1,2,2,1,1,4,3
"379",316521,1,1,1941,15,1,0,5,3,6,5,3
"380",316522,2,2,1943,3,1,0,7,3,6,5,3
"381",316651,1,1,1937,7,1,2,4,3,6,5,7
"382",316652,2,2,1938,7,1,2,2,3,6,5,7
"383",316711,1,2,1952,7,1,2,3,3,7,5,7
"384",316951,1,2,1969,13,1,2,3,3,7,5,3
"385",316952,2,1,1964,3,1,2,3,1,1,2,3
"386",316954,6,1,1992,3,1,2,3,1,1,4,3
"387",317241,1,1,1958,7,1,0,5,1,2,2,7
"388",317242,2,2,1962,1,1,0,5,1,2,3,7
"389",317351,1,1,1944,3,1,2,3,3,6,5,3
"390",317352,2,2,1935,5,1,2,2,3,6,5,3
"391",317571,1,2,1935,4,1,2,5,3,6,5,3
"392",317851,1,1,1946,3,1,2,5,3,6,5,3
"393",317852,2,2,1949,3,1,2,5,1,2,3,3
"394",317981,1,1,1936,20,1,2,2,3,6,5,3
"395",317991,1,2,1948,3,1,2,2,3,6,5,3
"396",317992,2,1,1941,3,1,2,3,3,6,5,3
"397",318601,1,1,1958,15,1,2,3,1,2,3,15
"398",318602,2,2,1961,15,1,2,5,1,2,3,15
"399",318603,6,2,1985,15,1,2,5,1,2,3,15
"400",318681,1,1,1954,18,1,2,3,1,1,3,18
"401",318691,1,1,1951,18,1,2,2,2,5,2,18
"402",319121,1,1,1930,3,1,0,2,3,6,5,3
"403",319122,2,2,1940,3,1,0,2,3,6,5,3
"404",320011,1,1,1934,1,1,3,5,3,6,5,1
"405",320012,2,2,1934,7,1,3,3,3,7,5,1
"406",320281,1,1,1950,1,1,0,7,1,2,3,1
"407",320282,2,2,1950,1,1,0,7,3,6,5,1
"408",320283,6,1,1985,1,1,0,6,1,2,2,1
"409",320331,1,2,1952,1,1,0,5,1,2,3,1
"410",320332,2,1,1950,1,1,0,3,3,6,5,1
"411",320341,1,1,1944,18,1,0,3,3,6,5,1
"412",320411,1,1,1942,1,1,0,3,3,6,5,1
"413",320441,1,2,1937,1,1,0,2,3,6,5,1
"414",320471,1,1,1937,1,1,0,3,3,6,5,1
"415",320521,1,1,1941,1,1,0,3,3,6,5,1
"416",320522,2,2,1944,1,1,0,3,3,6,5,1
"417",320571,1,1,1938,1,1,0,3,3,6,5,1
"418",320572,2,2,1943,1,1,0,5,3,6,5,1
"419",320573,6,1,1967,1,1,0,8,1,3,2,1
"420",320661,1,2,1925,1,1,0,2,3,6,5,1
"421",320671,1,2,1935,1,1,0,3,3,6,5,1
"422",3210091,1,1,1933,8,1,2,2,3,6,5,8
"423",3210092,3,2,1936,8,1,2,2,3,6,5,8
"424",321441,1,1,1941,1,1,3,5,3,6,5,1
"425",321442,2,2,1946,1,1,3,3,3,7,5,1
"426",321901,1,1,1947,3,1,2,5,3,6,5,3
"427",321981,1,1,1946,7,1,0,5,3,6,5,7
"428",321982,11,2,1940,7,1,0,7,3,6,5,7
"429",322061,1,2,1963,1,1,1,2,3,7,5,20
"430",322062,7,2,1985,20,1,1,3,1,1,4,20
"431",322091,1,2,1950,20,1,1,2,3,7,5,20
"432",322092,2,1,1940,20,1,1,2,3,6,5,20
"433",322093,6,1,1976,20,1,1,5,1,1,4,20
"434",322102,2,1,1946,20,1,1,3,1,1,4,20
"435",322103,6,2,1985,20,1,1,5,3,7,5,20
"436",322291,1,2,1922,9,1,2,2,3,6,5,9
"437",322881,1,1,1960,8,1,0,3,1,1,2,8
"438",322882,2,2,1960,8,1,0,4,1,1,3,8
"439",322883,6,1,1983,8,1,0,5,1,2,2,8
"440",323181,1,2,1936,4,1,2,2,3,6,5,4
"441",323201,1,2,1962,4,1,2,7,1,2,3,4
"442",323202,2,1,1958,6,1,2,5,1,2,4,4
"443",323281,1,2,1915,20,1,0,2,3,6,5,20
"444",324381,1,1,1964,15,1,2,5,1,2,4,15
"445",324382,10,2,1989,1,1,2,5,1,2,4,15
"446",324641,1,2,1927,15,1,0,1,3,6,5,15
"447",324701,1,2,1927,15,1,0,5,3,6,5,15
"448",324702,7,1,1968,15,1,0,5,2,5,1,15
"449",324711,1,2,1945,15,1,0,2,3,6,5,15
"450",325241,1,1,1945,8,1,2,7,3,6,5,8
"451",325242,2,2,1948,8,1,2,7,3,6,5,8
"452",325561,1,2,1947,5,1,1,4,3,6,5,5
"453",326681,1,1,1949,16,1,1,3,3,6,5,16
"454",326683,6,1,1974,16,1,1,3,1,1,2,16
"455",327031,1,2,1942,15,1,1,4,2,5,3,8
"456",327091,1,1,1940,8,1,1,5,3,6,5,8
"457",327092,2,2,1944,8,1,1,5,3,6,5,8
"458",327093,6,1,1971,8,1,1,7,1,3,4,8
"459",327094,6,2,1979,8,1,1,8,1,2,3,8
"460",327131,1,2,1952,1,1,1,3,1,2,4,8
"461",327132,2,1,1950,8,1,1,3,2,5,2,8
"462",327133,6,2,1973,8,1,1,7,1,2,3,8
"463",327134,6,1,1975,8,1,1,5,2,5,2,8
"464",327291,1,1,1954,8,1,1,4,2,5,4,8
"465",327292,2,2,1958,8,1,1,3,3,7,5,8
"466",327311,1,2,1935,8,1,1,3,3,6,5,8
"467",327331,1,1,1931,8,1,1,2,3,6,5,8
"468",327341,1,1,1965,8,1,1,3,1,1,2,8
"469",327342,2,2,1973,8,1,1,5,1,2,4,8
"470",327421,1,1,1946,8,1,1,3,3,6,5,8
"471",327422,2,2,1946,8,1,1,2,3,6,5,8
"472",327511,1,2,1949,8,1,2,3,3,6,5,8
"473",327641,1,1,1958,8,1,2,3,2,4,1,8
"474",327642,2,2,1959,8,1,2,5,1,1,2,8
"475",327651,1,2,1956,8,1,2,7,1,2,3,8
